title,company,job_category,job_area,salary_min,salary_max
বৈজ্ঞানিক কর্মকর্তা (প্রোডাক্ট ইউটিলাইজেশন),Bangladesh Rubber Board,R&D (Research and Development),,22000.00,53060.00
Manager (Production),Jamuna Group,Production/Operation,Baridhara,,
Web Developer (E-Commerce),Shombhob Health Ltd.,IT/Software,Dhaka,,
"Lecturer, Surgery",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Pathology",Ad-Din Women's Medical College Hospital,Education/Training,,,
"Lecturer, Pharmacology",Ad-din Women's Medical College,Education/Training,,,
"Associate Professor, Anatomy",Ad-Din Women's Medical College Hospital,Education/Training,,,
শপ এসিস্ট্যান্ট (ভোকেশনাল শাখা),Siiraj Uddin Sarkar Bidyaniketan and College,Others,Gazipur,,
Field Officer,Satota Pluse,Project Management,"সরিষাবাড়ী, টাঙ্গাইল, জামালপুর",9000.00,13000.00
Lecturer (Biochemistry),Shah Mokhdum Medical College,Medical/Healthcare Professional,Rajshahi,,
Lecturer (Physiology),Shah Mokhdum Medical College,Education/Training,Rajshahi,,
Medical Officer (Surgery),Shah Mokhdum Medical College,Medical/Healthcare Professional,,,
Reporter,N Media,Media/Advertisement/Event Management,Dhaka,,
Lecturer (Anatomy),Shah Mokhdum Medical College,Education/Training,Rajshahi,,
Medical Officer (Medicine),Shah Mokhdum Medical College,Medical/Healthcare Professional,Rajshahi,,
Medical Officer (Obs and Gynae),Shah Mokhdum Medical College,Medical/Healthcare Professional,Rajshahi,,
