name,price
MSI GeForce RTX 3060 Ti GAMING X TRIO 8GB Graphics Card,<span>TBA</span>
Sapphire NITRO+ AMD Radeon RX 6800 XT 16GB GDDR6 Graphics Card,<span>TBA</span>
Sapphire NITRO+ AMD Radeon RX 6800 16GB GDDR6 Graphics Card,<span>TBA</span>
Sapphire Pulse AMD Radeon RX 6800 OC Gaming 16GB GDDR6 Graphics Card,<span>TBA</span>
Sapphire NITRO+ AMD Radeon RX 6800 XT SE 16GB GDDR6 ARGB Gaming Graphics Card,<span>TBA</span>
MSI GeForce RTX 3080 Gaming X Trio 10GB Graphics Card,<span>TBA</span>
MSI GeForce RTX 3080 SUPRIM X 10GB Graphics Card,<span>TBA</span>
MSI GeForce RTX 3080 VENTUS 3X 10GB OC Graphics Card,<span>TBA</span>
MSI GeForce RTX 3080 SUPRIM 10GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte GT 710 2GB DDR3 Graphics Card,<span>TBA</span>
Gigabyte GT 710 2GB DDR5 Graphics Card,<span>TBA</span>
Asus Rog Strix RX570 OC edition 4GB GDDR5 Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 2060 OC 6GB Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce GTX 1660 Ti AMP 6GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 Graphics Card,<span>TBA</span>
GALAX GeForce RTX 2070 Super EX (1-Click OC) 8GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 2060 Super Gaming OC 8GB Graphics Card,<span>TBA</span>
Zotac Gaming GeForce GTX 1660 SUPER AMP 6GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte Geforce RTX 2060 SUPER WINDFORCE OC 8GB Graphics Card,<span>TBA</span>
GALAX GeForce RTX 2070 Super Work The Frames Edition 8GB GDDR6 256-bit Graphics Card,<span>TBA</span>
GALAX GeForce RTX 2070 Super EX Gamer Black Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus ROG Strix RX 5600 XT OC Gaming 6GB Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5500 XT Gaming OC 4GB Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5500 XT Gaming OC 8GB Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5500 XT OC 4GB Graphics Card,<span>TBA</span>
Gigabyte Radeon  RX 5500 XT OC 4GB Graphics Card,<span>TBA</span>
ASUS Phoenix Radeon RX 550 4GB Evo Graphics Card,<span>TBA</span>
Asus Dual Radeon RX 5500 XT EVO 8GB GDDR6 Graphics Card,<span>TBA</span>
Zotac GeForce GTX 1660 Twin Fan Gaming 6GB GDDR5 Graphics Card,<span>TBA</span>
Zotac Gaming GeForce GTX 1650 AMP Core 4GB GDDR6 Graphics Card,<span>TBA</span>
GALAX GeForce GTX 1660 Super (1-Click OC) 6GB GDDR6 Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce GTX 1650 SUPER OC Edition 4GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3080 EAGLE OC 10GB Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3090 GAMING OC 24GB GDDR6X GAMING Graphics Card,<span>TBA</span>
Asus Phoenix GeForce GTX 1650 4GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3060 Ti MASTER 8GB Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3080 Vision OC 10GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3080 XTREME 10GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3090 XTREME 24GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3070 MASTER 8GB Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX 3070 Twin Edge OC White Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
GALAX GeForce RTX 3070 SG (1-Click OC) 8GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte Aorus GeForce RTX 3090 Master 24GB GDDR6X Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX 3070 AMP Holo 8GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3070 Eagle OC 8GB Graphics Card,<span>TBA</span>
